,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
107,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:55.361408,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
108,1.956,0.1547,0.0035,1.8,2016-Feb-16 09:31:55.361657,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",18.480905041313136
109,1.956,0.0236,0.072,2.0,2016-Feb-16 09:31:55.860469,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",20.72824878371401
110,1.956,0.0236,0.0693,2.0,2016-Feb-16 09:31:55.860499,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",47.72824878371396
111,1.956,0.1547,0.0027,1.8,2016-Feb-16 09:31:55.860899,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",26.480905041313086
112,1.956,0.0108,0.1111,2.05,2016-Feb-16 09:31:56.343341,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.2900847193142138
113,1.956,0.0236,0.0693,2.0,2016-Feb-16 09:31:56.343373,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",47.72824878371396
114,1.956,0.0236,0.0693,2.0,2016-Feb-16 09:31:56.343551,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",47.72824878371396
115,1.956,0.0711,0.0202,1.9,2016-Feb-16 09:31:56.343657,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",14.604576912511348
116,1.956,0.0711,0.0202,1.9,2016-Feb-16 09:31:56.343703,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",14.604576912511348
117,1.956,0.1547,0.0035,1.8,2016-Feb-16 09:31:56.343731,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",18.480905041313136
118,1.956,0.0227,0.0693,2.0,2016-Feb-16 09:31:56.849370,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",38.72824878371397
119,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:56.849401,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
120,1.956,0.0711,0.0202,1.9,2016-Feb-16 09:31:56.849470,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",14.604576912511348
121,1.956,0.1547,0.0035,1.8,2016-Feb-16 09:31:56.849502,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",18.480905041313136
122,1.956,0.1072,0.0078,1.85,2016-Feb-16 09:31:57.337897,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.042740976913366424
123,1.956,0.0711,0.0202,1.9,2016-Feb-16 09:31:57.337994,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",14.604576912511348
124,1.956,0.1547,0.0035,1.8,2016-Feb-16 09:31:57.338052,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",18.480905041313136
125,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:57.890513,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
126,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:57.890534,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.728248783714033
127,1.956,0.0711,0.0202,1.9,2016-Feb-16 09:31:57.890632,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",14.604576912511348
