,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
108,1.958,0.0239,0.071,2.0,2016-Feb-16 09:31:31.359600,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",17.11572814093218
109,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:31.868921,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
110,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:31.868939,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
111,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:32.349281,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
112,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:32.895106,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
113,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:32.895158,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
114,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:33.297414,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
115,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:33.807360,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
116,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:33.807449,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
117,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:34.851582,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
118,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:34.851631,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
119,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:35.327082,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
120,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:36.326757,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
121,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:38.362492,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
122,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:38.362522,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
123,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:38.363306,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
124,1.958,0.1555,0.0035,1.8,2016-Feb-16 09:31:38.363350,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.86838439853116
125,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:39.932425,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
126,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:39.932653,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
127,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:40.836692,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
128,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:41.303230,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.115728140932113
129,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:41.303420,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
130,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:31:41.807680,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
131,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:42.317559,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
132,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:42.827148,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
133,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:43.369758,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
134,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:43.860860,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
135,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:43.860877,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
136,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:45.510451,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
137,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:47.922682,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
138,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:47.922704,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
139,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:48.429750,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
140,1.958,0.1547,0.0034,1.8,2016-Feb-16 09:31:48.429764,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",2.868384398531376
141,1.959,0.0237,0.0692,2.0,2016-Feb-16 09:31:50.383507,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",23.159467819541117
142,1.959,0.0227,0.0692,2.0,2016-Feb-16 09:31:50.872060,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",13.15946781954111
143,1.959,0.0709,0.0188,1.9,2016-Feb-16 09:31:50.872156,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.03579594833852395
144,1.959,0.0709,0.0188,1.9,2016-Feb-16 09:31:51.386266,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.03579594833852395
145,1.956,0.0059,0.156,2.1,2016-Feb-16 09:31:54.839522,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",6.151920654916543
146,1.956,0.0059,0.156,2.1,2016-Feb-16 09:31:54.839612,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",6.151920654916543
147,1.956,0.0108,0.1111,2.05,2016-Feb-16 09:31:54.839669,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",4.590084719314214
148,1.956,0.0108,0.1111,2.05,2016-Feb-16 09:31:54.839691,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",4.590084719314214
149,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:54.839755,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",15.028248783714032
150,1.956,0.0227,0.072,2.0,2016-Feb-16 09:31:54.839790,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",15.028248783714032
151,1.956,0.0412,0.0419,1.95,2016-Feb-16 09:31:54.839835,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.4664128481137877
152,1.956,0.0412,0.0419,1.95,2016-Feb-16 09:31:54.839871,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.4664128481137877
153,1.956,0.1072,0.0078,1.85,2016-Feb-16 09:31:54.840051,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.3427409769133662
154,1.956,0.1072,0.0078,1.85,2016-Feb-16 09:31:54.840095,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.3427409769133662
155,1.956,0.1547,0.0034,1.8,2016-Feb-16 09:31:54.840144,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",22.780905041313304
156,1.956,0.1547,0.0035,1.8,2016-Feb-16 09:31:54.840167,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",21.780905041313137
157,1.956,0.0059,0.156,2.1,2016-Feb-16 09:31:55.361284,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",6.151920654916543
158,1.956,0.0108,0.1111,2.05,2016-Feb-16 09:31:55.361333,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",4.590084719314214
